Date,Open,High,Low,Close,Adj Close,Volume
2018-11-13,6373.189453,6342.670410,6395.268555,6359.490234,6359.490234,0
2018-11-14,6351.238770,5544.088379,6371.549316,5738.350586,5738.350586,0
2018-11-15,5736.148438,5358.379395,5774.819336,5648.029297,5648.029297,0
2018-11-16,5645.319336,5498.940918,5657.020508,5575.550293,5575.550293,0
2018-11-19,5620.778809,4842.910645,5620.778809,4871.490234,4871.490234,0
2018-11-20,4863.929199,4272.109375,4951.610352,4451.870117,4451.870117,0
2018-11-21,4465.539551,4343.980469,4675.730957,4602.169922,4602.169922,0
2018-11-22,4611.569824,4365.640137,4629.640137,4365.940918,4365.940918,0
2018-11-23,4360.699707,4195.679688,4396.419922,4347.109863,4347.109863,0
2018-11-26,4015.069336,3643.920410,4107.140625,3779.129395,3779.129395,0
2018-11-27,3765.950684,3661.009521,3862.960693,3820.719482,3820.719482,0
2018-11-28,3822.470703,3822.470703,4385.899414,4257.420410,4257.420410,0
2018-11-29,4269.003418,4145.765137,4413.019531,4278.847168,4278.847168,0
2018-11-30,4289.089844,3942.822998,4322.976563,4017.267578,4017.267578,0
2018-12-03,4147.324707,3840.446289,4155.979004,3894.131348,3894.131348,0
2018-12-04,3886.294678,3832.749756,4075.627197,3956.893799,3956.893799,0
2018-12-05,3958.893799,3753.994629,3969.536377,3753.994629,3753.994629,0
2018-12-06,3754.074951,3521.102051,3874.965576,3521.102051,3521.102051,0
2018-12-07,3512.590088,3280.228516,3512.590088,3419.937500,3419.937500,0
2018-12-10,3612.045898,3470.145020,3647.332031,3502.656250,3502.656250,0
2018-12-11,3497.555176,3392.249756,3513.184814,3424.588379,3424.588379,0
2018-12-12,3421.458740,3413.481689,3534.228271,3486.949951,3486.949951,0
2018-12-13,3487.879150,3298.132324,3489.739990,3313.677490,3313.677490,0
2018-12-14,3311.751709,3206.542480,3329.556641,3242.484375,3242.484375,0
2018-12-17,3253.123291,3253.123291,3597.918213,3545.864014,3545.864014,0
2018-12-18,3544.761963,3487.168701,3701.349854,3696.059570,3696.059570,0
2018-12-19,3706.824463,3687.229736,3949.322021,3745.950928,3745.950928,0
2018-12-20,3742.195801,3728.975098,4191.229004,4134.440430,4134.440430,0
2018-12-21,4133.703613,3850.946777,4198.429688,3896.543701,3896.543701,0
2018-12-24,4000.331299,4000.331299,4271.791992,4078.599609,4078.599609,0
2018-12-25,4081.029541,3760.020264,4089.561523,3815.490479,3815.490479,0
2018-12-26,3819.667480,3769.863525,3893.359375,3857.297119,3857.297119,0
2018-12-27,3854.688965,3645.448242,3874.416260,3654.833252,3654.833252,0
2018-12-28,3653.132080,3642.631592,3956.135986,3923.918213,3923.918213,0
2018-12-31,3866.838623,3725.867188,3868.742920,3742.699707,3742.699707,0
