"";"lemma";"inflected_form"
"906";"alexandria";"alexandrias"
"907";"alex";"alexes"
"908";"alfred";"alfreds"
"909";"alf";"alfs"
"910";"algebra";"algebras"
"911";"algerian";"algerians"
"912";"algeria";"algerias"
"913";"algicide";"algicides"
"914";"alginate";"alginates"
"915";"algorism";"algorisms"
"916";"algorithm";"algorithms"
"917";"alias";"aliases"
"918";"alibi";"alibied"
"919";"alibi";"alibiing"
"920";"alibi";"alibis"
"921";"alice";"alices"
"922";"alienate";"alienated"
"923";"alienate";"alienates"
"924";"alienate";"alienating"
"925";"alienation";"alienations"
"926";"alienator";"alienators"
"927";"alien";"aliens"
"928";"alight";"alighted"
"929";"alight";"alighting"
"930";"alight";"alights"
"931";"align";"aligned"
"932";"align";"aligning"
"933";"alignment";"alignments"
"934";"align";"aligns"
"935";"aliment";"aliments"
"936";"alimony";"alimonies"
"937";"aline";"alined"
"938";"aliquot";"aliquots"
"939";"ali";"alis"
"940";"alison";"alisons"
"941";"alkali";"alkalis"
"942";"alkalise";"alkalising"
"943";"alkalize";"alkalized"
"944";"alkalize";"alkalizing"
"945";"alkaloid";"alkaloids"
"946";"alkane";"alkanes"
"947";"alkene";"alkenes"
"948";"alky";"alkies"
